show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s1934,Movie,Silent City,Isabella Kumar,"Aoi Martinez, Amélie Tanaka, Yuki Kumar, Kwame Brown, Isabella Okonkwo, Alice Kim",Turkey,"February 25, 2019",2019,TV-PG,98 min,"International TV Shows, Children & Family Movies, Horror Movies",A thrilling story about friendship.
s1935,Movie,Dream of Paradise,Carlos Suzuki,"Priya Patel, Martin López, Olivier Nakamura",China,"February 27, 2024",2024,TV-MA,95 min,"Docuseries, Anime Series",A thrilling story about family.
s1936,TV Show,Silent Stranger,Chloé Brown,"Kwame Wang, Camila Wang, Camila Yamamoto, Kwame Yamamoto, Diego Khan","Germany, United Kingdom","August 04, 2016",2009,TV-MA,3 Seasons,Action & Adventure,A gripping story about friendship.
s1937,Movie,Light: Sacred Murder,Chloé García,"Diego Khan, Ahmed Tanaka, Emma Wang, Amélie Wang","China, India","October 05, 2016",2010,PG-13,91 min,Children & Family Movies,A gripping story about revenge.
s1938,TV Show,The Eternal Story,,"Priya Wang, Maria Rodriguez, Noah Yamamoto, Carlos Rodriguez, Diego Silva",Japan,"May 16, 2019",2005,TV-MA,2 Seasons,Spanish-Language TV Shows,A heartwarming story about adventure.
s1939,TV Show,The Beautiful Queen,,"Felipe Kumar, Aoi Petit, Emma Johnson, Sofia Tanaka, Olivier Andersen, Aoi Patel, Isabella Wang, Chen Andersen",India,"December 29, 2016",2016,R,1 Season,"International Movies, Sci-Fi & Fantasy",A hilarious story about adventure.
s1940,Movie,Kingdom of Story,Kwame Petit,,Spain,"July 12, 2012",2009,TV-MA,122 min,"British TV Shows, TV Dramas",A gripping story about survival.
s1941,Movie,Shadow of Murder,Yuki Wang,"Felipe López, Felipe Patel, Sofia Brown, Isabella Okonkwo",India,"August 17, 2024",2024,TV-PG,99 min,"Crime TV Shows, Classic Movies",A heartwarming story about revenge.
s1942,Movie,Queen: Dark War,Olivier Silva,"Ravi Brown, Tom Martinez, Diego Rodriguez, Yuki López, Noah Rodriguez, Alice Müller, Priya Smith",United States,"April 23, 2009",2002,TV-MA,131 min,"Reality TV, International Movies",A hilarious story about love.
s1943,Movie,Forgotten Mountain,Ingrid Kim,"Chen Brown, Olivier García, Noah Rodriguez, James Brown, Noah Brown, Camila García, Diego Brown",United States,"September 16, 2016",2009,TV-MA,111 min,"Spanish-Language TV Shows, TV Comedies",A thrilling story about family.
s1944,Movie,The Silent Dream,Kwame López,"Olivier Okonkwo, Olivier Tanaka, Yuki Kumar",,"November 21, 2021",2020,TV-Y7,118 min,"Sci-Fi & Fantasy, Docuseries",A thrilling story about revenge.
s1945,TV Show,The Last War,Chen Johnson,"Chen Brown, Carlos Yamamoto, Felipe Nakamura, Hiroshi Rodriguez, Ingrid Khan","United States, Canada, Mexico","April 10, 2011",2011,R,3 Seasons,"Sci-Fi & Fantasy, International TV Shows",A thrilling story about family.
s1946,Movie,Fire of Legend,Priya Andersen,,"United States, Japan","November 12, 2024",2024,TV-MA,151 min,Spanish-Language TV Shows,A gripping story about survival.
s1947,Movie,Story: Wild Love,Felipe Johnson,"Noah Andersen, Felipe Brown, Ahmed Patel, Aoi Nakamura, Maria Nakamura",United States,"April 03, 2024",2024,TV-PG,123 min,"Docuseries, Comedies, British TV Shows",A mysterious story about adventure.
s1948,Movie,The Dark Family,Priya Nakamura,,United States,"April 08, 2024",1999,R,46 min,"Documentaries, Thrillers, International TV Shows",A gripping story about adventure.
s1949,Movie,War of Family,Ahmed Müller,"Ingrid Nakamura, Liam Smith, Noah Nakamura, David Andersen, Carlos Rodriguez, Diego Kumar, Tom Martinez",United States,"March 04, 2008",2005,TV-MA,109 min,"Korean TV Shows, TV Dramas, Music & Musicals",A gripping story about revenge.
s1950,Movie,Revenge: Broken Dream,Diego Andersen,"Carlos Nakamura, Kwame Silva, Aoi Rossi, Camila Suzuki, Ingrid Silva, Emma Okonkwo, Isabella Martinez","United States, Canada","April 07, 2008",2005,TV-MA,66 min,Classic Movies,A hilarious story about survival.
s1951,Movie,Murder: Strange Detective,Ahmed Müller,,United States,"February 16, 2024",2024,PG-13,88 min,"International Movies, International TV Shows",A mysterious story about survival.
s1952,Movie,Shadow: Sacred Family,Aoi Smith,"Chloé Okonkwo, Aoi Müller, Maria Tanaka","United States, Canada","September 10, 2024",2004,TV-MA,124 min,Comedies,A heartwarming story about revenge.
s1953,Movie,Mother of Fire,Isabella Brown,"Amélie Müller, Amélie Andersen, Liam Yamamoto, Ravi Silva, Chen Suzuki","United States, Japan","May 21, 2021",2004,TV-14,137 min,"Romantic Movies, Anime Series",A heartwarming story about survival.
s1954,Movie,Love: Lost Game,Fatima Rossi,"James Rossi, Chen Müller, Fatima Johnson, Chloé Nakamura, James Rossi, Olivier Patel, Diego Suzuki",United States,"October 14, 2024",2024,TV-14,73 min,"Docuseries, Thrillers",A hilarious story about adventure.
s1955,Movie,Lost Mountain,Noah Khan,"Liam Müller, David López, David Silva, Raj Johnson, Lin Nakamura, Noah López",India,"July 03, 2023",1993,TV-14,69 min,"Comedies, Independent Movies",A thrilling story about love.
s1956,Movie,Shadow of War,Carlos Patel,,"India, United States, Argentina","May 20, 2021",2016,TV-MA,111 min,"International Movies, LGBTQ Movies",A heartwarming story about love.
s1957,TV Show,The Golden Murder,,"Yuki Rossi, Sofia Wang, Diego García, Hiroshi Okonkwo, David Khan, Lin Tanaka, Amélie Wang",United States,"January 18, 2021",2016,TV-14,1 Season,Independent Movies,A thrilling story about revenge.
s1958,Movie,Story of Kingdom,Tom Suzuki,"Yuki Wang, Tom Kumar, Chen Petit, Hiroshi García, Raj Petit, Emma López",Canada,"October 25, 2009",2003,TV-14,152 min,"Independent Movies, TV Horror",A hilarious story about friendship.
s1959,Movie,Eternal Journey,Chloé Rodriguez,"Camila López, Martin Andersen, Felipe García, Ingrid Martinez, David García, Maria García, Olivier López","Brazil, India","September 29, 2024",2024,PG-13,104 min,"Music & Musicals, TV Dramas, Stand-Up Comedy",A heartwarming story about love.
s1960,TV Show,Lost Detective,"Martin Kim, Emma Kim","Ingrid Kumar, Lin Smith, David Khan, Sofia Tanaka","United States, Spain","January 01, 2020",1997,TV-Y,2 Seasons,"Docuseries, TV Action & Adventure, Comedies",A hilarious story about friendship.
s1961,Movie,House of Mother,Priya Johnson,"Tom Patel, Hiroshi Yamamoto, Sofia Suzuki, Diego Kumar",,"December 14, 2024",2024,TV-14,126 min,"Romantic Movies, Korean TV Shows, TV Horror",A hilarious story about love.
s1962,Movie,House of House,Diego Johnson,"Hiroshi Yamamoto, Chloé Silva, Ingrid García, Raj Kim",United States,"August 29, 2015",1998,TV-MA,109 min,"TV Action & Adventure, International Movies",A heartwarming story about love.
s1963,Movie,Last House,,"Ingrid Khan, Noah Rodriguez, Martin Nakamura","Australia, Canada","August 25, 2017",2006,TV-MA,101 min,"British TV Shows, International TV Shows, Thrillers",A hilarious story about family.
s1964,TV Show,The Infinite Dream,,"Olivier Smith, Sofia Andersen, David Rodriguez, Aoi Okonkwo, Fatima Wang, Maria Silva, Kwame Patel, Raj Johnson",United States,"February 07, 2015",2006,TV-14,1 Season,International Movies,A gripping story about love.
s1965,Movie,City: Hidden Light,Yuki Petit,"Isabella García, Lin Wang, Sofia García, Maria Martinez","Japan, United States, Philippines","March 25, 2024",2024,TV-PG,122 min,Sci-Fi & Fantasy,A heartwarming story about family.
s1966,TV Show,Shadow of Revenge,"Sofia Silva, Aoi Kim","Martin Smith, Ravi Patel, Maria Khan, Martin Kumar, Priya Brown, Olivier Tanaka, Ravi Johnson","Australia, India","February 12, 2011",2004,TV-PG,1 Season,"Sports Movies, Documentaries",A thrilling story about love.
s1967,TV Show,Detective: Infinite Detective,,"Liam Johnson, Ahmed Rodriguez, Sofia Wang, David Rossi, Isabella Suzuki","United Kingdom, Turkey, Philippines","August 06, 2019",2019,TV-14,1 Season,"Children & Family Movies, Comedies",A thrilling story about friendship.
s1968,TV Show,House of Friend,,"Carlos Yamamoto, Ahmed Khan, Chloé Johnson, Fatima Suzuki, Raj Patel, Felipe Smith, Camila Martinez",France,"December 10, 2015",2010,TV-MA,5 Seasons,"Korean TV Shows, Sports Movies",A hilarious story about revenge.
s1969,TV Show,Eternal Revenge,"Liam Brown, Lin Patel",,United States,"July 20, 2018",2018,TV-PG,3 Seasons,"Spanish-Language TV Shows, TV Comedies",A hilarious story about survival.
s1970,Movie,Silent Kingdom,Camila López,"Isabella Wang, Noah Silva, Aoi Kim, Martin Khan, Ravi Andersen, Emma Silva",United States,"December 15, 2011",2006,TV-14,121 min,"LGBTQ Movies, Documentaries",A gripping story about revenge.
s1971,Movie,The Dangerous Queen,Lin Müller,"Olivier Wang, Kwame Silva, James Suzuki, Ravi López, Noah Martinez",,"May 24, 2024",2024,PG-13,106 min,"Music & Musicals, Sports Movies",A heartwarming story about revenge.
s1972,Movie,Beautiful Stranger,Ahmed Brown,"Alice Andersen, David Khan, Felipe Petit","Egypt, France","February 14, 2023",1986,R,95 min,"Music & Musicals, Crime TV Shows",A thrilling story about family.
s1973,Movie,Mountain: Secret Light,Sofia Silva,"Maria Brown, James Yamamoto, Alice Petit, Tom Rossi, Alice Tanaka, James Johnson, Maria Smith",Canada,"April 15, 2015",1996,TV-MA,90 min,Docuseries,A thrilling story about friendship.
s1974,Movie,Midnight Journey,,"Lin Smith, Priya Silva, Liam Okonkwo, Noah Petit, Diego López",India,"May 27, 2024",2024,TV-14,104 min,"Thrillers, Classic Movies, TV Dramas",A mysterious story about friendship.
s1975,Movie,Ocean of Empire,Priya Kim,"James Smith, Martin Brown, Yuki Kim, Carlos García, David Smith, Isabella Silva, Aoi Patel","United States, Japan, Mexico","December 22, 2021",1997,TV-PG,116 min,"Comedies, International Movies, Sci-Fi & Fantasy",A mysterious story about family.
s1976,TV Show,Light: Midnight Empire,Chen Rodriguez,"Lin Rossi, Noah Petit, Carlos Okonkwo, Olivier Silva, Aoi Petit, David Wang",United Kingdom,"May 23, 2019",2009,TV-14,2 Seasons,"British TV Shows, Music & Musicals, Thrillers",A thrilling story about friendship.
s1977,TV Show,Mountain: Beautiful Stranger,Amélie Okonkwo,"Raj Silva, Hiroshi Rodriguez, David Khan, Ingrid Okonkwo, Felipe Rossi, Alice Johnson, Maria Okonkwo",South Korea,"August 22, 2024",2024,TV-PG,1 Season,Docuseries,A mysterious story about revenge.
s1978,TV Show,The Secret Mountain,"Chloé Johnson, Kwame Okonkwo","Camila García, Ingrid Kumar, Ingrid Wang, James Martinez, Ingrid Andersen, Fatima Tanaka, Chen Rossi","South Korea, United Kingdom, India","June 10, 2020",2020,PG,2 Seasons,"Horror Movies, Sci-Fi & Fantasy",A mysterious story about revenge.
s1979,Movie,King of Dream,,"Chloé Brown, Priya Rossi, Ingrid Petit, Chen Wang, James Petit, Ahmed Wang, Martin Suzuki",United States,"August 15, 2024",2024,PG,78 min,"TV Thrillers, Anime Series",A gripping story about family.
s1980,TV Show,Journey of Love,,"Raj Silva, Ravi Johnson, Chloé Andersen",United States,"September 14, 2011",2011,TV-Y7,1 Season,"Kids' TV, Anime Series",A heartwarming story about revenge.
s1981,Movie,The Forgotten Journey,Chen Kumar,"Hiroshi Okonkwo, Chen Patel, Chloé Okonkwo, Ravi Müller, Olivier García, Camila Johnson",,,2024,TV-MA,138 min,Thrillers,A thrilling story about survival.
s1982,Movie,Infinite Paradise,Felipe Kumar,"Tom Rossi, Kwame Petit, James Müller, Fatima Suzuki, Ravi Johnson","Egypt, Japan","January 31, 2024",2024,TV-14,136 min,Horror Movies,A thrilling story about adventure.
s1983,Movie,Murder: Dark Paradise,Aoi Rossi,"Emma Smith, Noah Smith, Sofia Petit, Alice Wang, Noah Kumar, Noah Kumar, Felipe Kim","United States, Canada, France","October 25, 2020",2013,TV-Y7,92 min,"Music & Musicals, Anime Series, British TV Shows",A mysterious story about survival.
s1984,TV Show,The Deadly Story,,"Olivier Johnson, Noah López, David Smith, Carlos Brown, Kwame Petit, Noah Müller","United States, Philippines, Mexico","November 15, 2018",2018,TV-Y7,3 Seasons,"Crime TV Shows, Children & Family Movies, Documentaries",A gripping story about family.
s1985,Movie,The Broken Family,Diego Müller,"Alice Rossi, Camila Smith, Liam Tanaka, Emma Brown, Fatima Smith, Kwame Andersen, Chen Wang",Brazil,"September 26, 2018",2017,TV-14,93 min,"TV Action & Adventure, TV Horror, Horror Movies",A heartwarming story about adventure.
s1986,TV Show,The Broken Stranger,Ingrid Khan,"Tom Rossi, Olivier Rodriguez, Chloé Martinez, Chloé Suzuki, David Johnson, Hiroshi Wang, Kwame Müller, Ahmed Müller",,"November 02, 2015",2012,R,6 Seasons,"Action & Adventure, International Movies",A heartwarming story about love.
s1987,Movie,The Forgotten Mother,,"Camila Johnson, Priya Silva, Isabella Martinez, Lin Martinez, Camila Yamamoto, Ravi Tanaka, Isabella Patel",India,"November 22, 2023",2005,TV-MA,89 min,"Thrillers, TV Dramas",A heartwarming story about revenge.
s1988,Movie,Light: Beautiful Ocean,,"David Kumar, David Suzuki, Olivier Johnson, David Kumar, Kwame Andersen, Diego Yamamoto, Martin Tanaka, Ingrid Suzuki",India,"March 18, 2018",2018,TV-14,49 min,"Romantic Movies, Dramas",A hilarious story about survival.
s1989,Movie,Game: Dark Murder,Liam Kim,"Ingrid López, Fatima Martinez, Ahmed Kim",France,"October 18, 2024",2024,TV-PG,94 min,TV Horror,A hilarious story about love.
s1990,Movie,Forgotten Friend,Felipe Johnson,"Ahmed Kim, Ingrid García, Camila Patel, Felipe Johnson, Ingrid Martinez, Noah Kumar",United States,"February 04, 2016",2016,TV-14,122 min,"International TV Shows, Crime TV Shows",A mysterious story about survival.
s1991,Movie,The Deadly Journey,Aoi Okonkwo,"Lin Yamamoto, Olivier Wang, Chloé Okonkwo, Ingrid Tanaka",United Kingdom,"June 17, 2022",2022,TV-MA,121 min,"Children & Family Movies, Thrillers",A gripping story about friendship.
s1992,Movie,Paradise: Lost City,Aoi Nakamura,"Olivier Johnson, Carlos Andersen, Aoi Smith, Camila Nakamura, Camila Johnson, Fatima Johnson, Carlos Rodriguez, Carlos Wang",India,"October 02, 2024",2024,TV-14,102 min,"Music & Musicals, Spanish-Language TV Shows",A thrilling story about family.
s1993,Movie,City of King,Isabella Kim,"Alice Kumar, Chen Khan, Isabella Patel, Ravi Nakamura",Italy,"December 03, 2023",2010,TV-PG,71 min,"Sci-Fi & Fantasy, Dramas",A gripping story about adventure.
s1994,Movie,Deadly Fire,Hiroshi Yamamoto,"James Brown, Isabella Kim, Maria Khan, Sofia Brown",United States,"May 01, 2018",2011,TV-Y7,131 min,"TV Thrillers, Docuseries",A hilarious story about family.
s1995,TV Show,The Beautiful Mother,"Chen Johnson, Tom Khan","Maria López, Aoi Kumar, Carlos Silva, Ingrid Wang",India,"August 07, 2024",2015,TV-MA,2 Seasons,"Documentaries, Music & Musicals",A heartwarming story about revenge.
s1996,TV Show,Eternal Story,Felipe Petit,"Isabella Silva, Emma Brown, Diego Wang, Chloé Petit, Chloé Tanaka",Philippines,"December 09, 2012",2012,TV-MA,2 Seasons,TV Action & Adventure,A thrilling story about friendship.
s1997,Movie,Legend of Shadow,Tom Müller,"Chloé García, Martin Okonkwo, Ingrid Okonkwo, Chloé Johnson","United Kingdom, Spain","April 29, 2019",2017,TV-14,57 min,"Thrillers, Reality TV",A thrilling story about love.
s1998,Movie,The Final Paradise,Isabella Rodriguez,"Chloé Tanaka, Olivier Patel, Alice Khan, Emma Yamamoto, Ahmed Müller, Maria Silva",Italy,"October 06, 2017",2017,TV-14,127 min,"TV Thrillers, Horror Movies",A heartwarming story about family.
s1999,Movie,The Forgotten Detective,Priya Andersen,"Ahmed Brown, Emma Yamamoto, Fatima Petit, Hiroshi Patel, Noah Rodriguez, Martin Silva, Tom Tanaka, Ingrid Suzuki",Japan,"June 24, 2016",2016,TV-PG,141 min,"Horror Movies, International TV Shows",A heartwarming story about love.
s2000,Movie,Game of Detective,Fatima Patel,"Felipe Silva, Olivier Okonkwo, Maria Rodriguez, Fatima Tanaka","United States, Italy","October 29, 2022",2007,TV-MA,116 min,Music & Musicals,A hilarious story about adventure.
s2001,Movie,Kingdom of Heart,Felipe Petit,"Ravi Müller, Tom Tanaka, Emma Khan",Mexico,"September 05, 2024",2024,TV-PG,96 min,"Comedies, TV Dramas",A hilarious story about adventure.
s2002,Movie,Family: Midnight Empire,Liam Wang,"Felipe Brown, Chen Okonkwo, Ravi Smith, Ahmed Yamamoto",South Korea,"June 07, 2009",2009,TV-MA,96 min,Horror Movies,A mysterious story about adventure.
s2003,Movie,Final War,Olivier Brown,"Chen Kim, Ingrid Khan, Isabella Okonkwo, Felipe Yamamoto, Ravi Wang, Alice Wang","Japan, United States","September 23, 2013",2013,TV-MA,135 min,"Action & Adventure, Docuseries",A gripping story about love.
s2004,Movie,Infinite Friend,David Smith,"Yuki Rossi, Lin Brown, Alice López, Chen Khan, Isabella Yamamoto, Diego Khan, Fatima García, Isabella Andersen","Brazil, India, United States","April 24, 2015",2011,TV-14,100 min,Horror Movies,A heartwarming story about family.
s2005,Movie,Legend: Broken Fire,Felipe Nakamura,"Ravi Nakamura, Sofia Khan, Ingrid Müller, Ravi Rodriguez, Sofia Silva, Hiroshi Patel, Maria Patel, Ravi López",Germany,"June 09, 2018",2015,TV-14,87 min,Crime TV Shows,A thrilling story about revenge.
s2006,Movie,Ocean: Silent King,Hiroshi Wang,"Felipe Wang, Felipe López, Olivier Müller",United States,"October 07, 2024",2024,PG-13,105 min,"Spanish-Language TV Shows, TV Horror, Romantic Movies",A heartwarming story about friendship.
s2007,TV Show,The Wild Stranger,Ahmed Tanaka,"Priya Kumar, Maria Khan, Kwame Brown, Fatima Patel, Fatima Silva, Priya Kim",United States,"August 29, 2016",2007,TV-Y7,2 Seasons,"British TV Shows, Reality TV",A thrilling story about revenge.
s2008,Movie,The Eternal Dream,Tom Kim,"Ingrid Andersen, Camila Johnson, Amélie Kim, Maria García, David Brown",United States,,2010,TV-14,119 min,"Docuseries, Music & Musicals, TV Dramas",A thrilling story about friendship.
s2009,Movie,Mountain of Family,Tom Martinez,"Ahmed López, Maria Kumar, David Brown, Noah Kumar, Ravi Rossi, Ravi Tanaka",South Korea,"March 25, 2024",2024,TV-PG,111 min,"Spanish-Language TV Shows, Docuseries",A heartwarming story about friendship.
s2010,Movie,The Secret Love,Maria Rossi,"Maria Tanaka, Felipe Andersen, Maria Suzuki, Lin Wang, Emma Silva",United States,"March 19, 2023",2023,TV-MA,93 min,Docuseries,A gripping story about revenge.
s2011,TV Show,Mother of Murder,"Yuki Patel, Noah Petit","Noah Johnson, Tom Patel, Sofia Müller, Sofia Kim",India,"September 03, 2011",2003,TV-14,11 Seasons,"TV Action & Adventure, Children & Family Movies, Reality TV",A thrilling story about friendship.
s2012,Movie,The Broken Fire,Camila López,"Felipe López, Camila Silva, Priya Brown, Sofia Smith, Amélie Martinez",Italy,"May 30, 2017",2017,TV-14,95 min,"Children & Family Movies, TV Action & Adventure, British TV Shows",A gripping story about family.
s2013,Movie,Legend: Silent Fire,Kwame Wang,,"India, Turkey, Brazil","June 28, 2019",2018,TV-Y7,88 min,International TV Shows,A mysterious story about survival.
s2014,Movie,Silent Paradise,Chloé Kumar,"Tom Khan, Priya Suzuki, Priya Khan, Diego García, Amélie Silva","India, United States","July 05, 2024",2024,TV-G,132 min,Korean TV Shows,A thrilling story about adventure.
s2015,Movie,Fire: Perfect House,Lin Khan,"Tom García, Chloé Johnson, Amélie Suzuki, Isabella Johnson, Alice García, Ravi Suzuki, Maria Müller, Emma Okonkwo",United States,"November 10, 2023",2023,R,94 min,"International Movies, Crime TV Shows",A thrilling story about survival.
s2016,Movie,The Deadly Shadow,Aoi Rossi,"Isabella Khan, Carlos Martinez, Amélie Wang, Emma Johnson, Raj Müller",Nigeria,"July 15, 2018",2018,TV-MA,118 min,"Sci-Fi & Fantasy, International TV Shows",A mysterious story about love.
s2017,TV Show,Game of Empire,Yuki Rodriguez,"Ahmed Suzuki, Noah Suzuki, David Nakamura, Amélie López, Aoi Yamamoto",United States,"December 03, 2019",2019,TV-14,2 Seasons,"International TV Shows, Sci-Fi & Fantasy",A hilarious story about friendship.
s2018,Movie,The Perfect Detective,Noah Martinez,"Fatima García, Alice Tanaka, Olivier Kumar, Sofia Andersen, Isabella Petit","Spain, United States, Indonesia","January 20, 2015",2013,G,148 min,"Kids' TV, TV Dramas, International TV Shows",A thrilling story about adventure.
s2019,Movie,Infinite Friend,Sofia Martinez,"Raj Tanaka, Sofia Andersen, Ahmed Okonkwo, James Müller, Alice Martinez, Carlos Patel",United States,"January 26, 2008",2006,TV-Y7,112 min,TV Comedies,A heartwarming story about adventure.
s2020,Movie,Last Shadow,Martin Kumar,"Raj Martinez, David Petit, Fatima Nakamura, Yuki Wang, Maria Kumar, Noah Martinez, Priya Smith",Philippines,"January 08, 2024",2024,TV-14,104 min,"British TV Shows, TV Dramas",A thrilling story about adventure.
s2021,TV Show,Murder: Perfect Mountain,Liam Brown,"Carlos Okonkwo, Carlos Smith, Felipe Silva, Ahmed Müller, Emma Patel, Diego Kumar, Alice Johnson, Amélie Johnson",South Korea,"March 14, 2010",2006,TV-MA,6 Seasons,"Docuseries, Horror Movies",A mysterious story about survival.
s2022,TV Show,Infinite Journey,"David Kim, Maria Rossi","Emma Nakamura, Yuki Petit, Chen Nakamura, Isabella Khan, Noah Okonkwo",South Korea,"December 31, 2012",2005,R,2 Seasons,"LGBTQ Movies, Action & Adventure",A heartwarming story about adventure.
s2023,TV Show,Light of Witness,,"Lin Yamamoto, Isabella Kim, Diego Petit, Chloé Silva, Maria García, Aoi García, Alice Patel",United States,"December 01, 2016",2011,TV-PG,1 Season,"TV Action & Adventure, TV Dramas",A heartwarming story about friendship.
s2024,TV Show,Dangerous Love,Camila Khan,"Aoi Rossi, Alice Kim, Emma Kumar, Chloé Brown, Noah Suzuki",United States,"March 13, 2020",2006,TV-MA,2 Seasons,Horror Movies,A thrilling story about adventure.
s2025,Movie,Heart: Beautiful City,Olivier Rodriguez,"Raj Petit, Emma Nakamura, Amélie Kumar, Chen Martinez, Hiroshi Nakamura, Priya Patel, Hiroshi Smith",France,"May 13, 2024",2024,TV-PG,137 min,Sci-Fi & Fantasy,A mysterious story about survival.
s2026,Movie,Deadly Murder,James Johnson,"Noah Yamamoto, Maria Johnson, Chen Kim, Ravi Tanaka, Emma Khan, Aoi Martinez","Japan, United Kingdom","August 15, 2020",2005,G,79 min,"Children & Family Movies, TV Comedies, International TV Shows",A hilarious story about revenge.
s2027,Movie,Eternal Mother,Camila García,"Ahmed Martinez, Sofia Khan, Amélie Patel, Martin Müller, Liam Müller, Liam García",United Kingdom,"January 19, 2012",1994,TV-G,80 min,"Romantic Movies, Dramas",A thrilling story about revenge.
s2028,Movie,Light of Empire,Chloé Johnson,"Kwame Brown, David Patel, Chloé Wang",Mexico,"January 11, 2009",2009,TV-14,145 min,"Anime Series, International TV Shows",A heartwarming story about survival.
s2029,Movie,The Silent Ocean,Carlos Suzuki,"Tom Müller, Sofia Suzuki, Maria Rodriguez, Diego Brown, Tom Silva, Emma Kumar, Tom Tanaka, Liam Rossi","Japan, Mexico, United States","July 28, 2024",2009,R,117 min,Kids' TV,A hilarious story about love.
s2030,Movie,Murder of Empire,,"Alice Petit, Sofia Patel, Felipe Smith, Raj López, Priya Patel, Camila Petit",,"November 06, 2024",2024,R,106 min,Classic Movies,A hilarious story about adventure.
s2031,Movie,Ocean of Legend,Carlos Martinez,"Yuki Kumar, Felipe Brown, Maria Khan, Emma Nakamura, Olivier Okonkwo, Noah Müller, David Rossi, Martin Suzuki",United States,"April 26, 2024",2024,TV-MA,121 min,Sci-Fi & Fantasy,A heartwarming story about family.
s2032,Movie,Perfect Mother,Noah López,"Olivier Kim, Kwame Yamamoto, Isabella Patel",United States,"February 09, 2019",2019,PG,110 min,"Romantic Movies, Korean TV Shows, Documentaries",A mysterious story about friendship.
s2033,Movie,Queen of Revenge,Yuki García,"Lin Khan, Alice Silva, Fatima Petit, Ahmed Martinez, Olivier Petit, Hiroshi Kumar, Diego García",Canada,"September 28, 2009",2008,TV-14,71 min,"British TV Shows, Music & Musicals",A mysterious story about revenge.
s2034,Movie,The Broken Ocean,Martin Martinez,"David Kumar, Ingrid Wang, Martin Wang, Tom Tanaka, Emma Khan, James García",India,"March 30, 2019",2019,TV-Y7,105 min,"Children & Family Movies, Comedies",A gripping story about love.
s2035,Movie,Fire of Shadow,Camila Johnson,"Felipe Andersen, Liam Nakamura, Isabella Nakamura",United States,"May 22, 2016",2016,R,69 min,"TV Comedies, Comedies, Action & Adventure",A heartwarming story about love.
s2036,Movie,Love: Wild Ocean,,"Raj Khan, Raj Smith, Diego Rossi, Aoi Johnson, Camila Rodriguez, Aoi López",India,"May 05, 2024",1997,TV-MA,129 min,"Comedies, Children & Family Movies",A thrilling story about adventure.
s2037,Movie,The Dark King,Felipe Andersen,"Liam Tanaka, Lin Patel, James López",Italy,"August 11, 2024",2020,TV-14,88 min,Music & Musicals,A gripping story about friendship.
s2038,Movie,The Last Friend,Hiroshi López,"Alice Smith, Emma Nakamura, Felipe Andersen, Chen Silva, Lin Johnson",South Korea,"November 11, 2016",1998,TV-Y,130 min,"International Movies, Crime TV Shows",A mysterious story about love.
s2039,Movie,Friend of Revenge,Alice Nakamura,"Martin López, Isabella García, Chloé Silva, Felipe Petit, Sofia Khan",France,"August 27, 2017",2005,TV-14,114 min,"TV Thrillers, British TV Shows, Horror Movies",A hilarious story about friendship.
s2040,Movie,The Last Mother,Felipe Müller,"Hiroshi Kim, Fatima Khan, James Müller, Emma Silva, Lin Okonkwo, Chloé Rossi, Sofia Patel",Spain,"May 26, 2023",2009,R,152 min,"Horror Movies, Spanish-Language TV Shows",A mysterious story about survival.
s2041,Movie,Sacred Queen,Hiroshi López,"Martin Kim, Ingrid Petit, Ahmed Rodriguez, Chloé Kim, Felipe Yamamoto, Martin López",United States,"April 16, 2023",2019,TV-MA,86 min,"Horror Movies, International Movies",A hilarious story about love.
s2042,Movie,The Dark Stranger,Lin Andersen,"Yuki Yamamoto, Camila Johnson, David García, Priya Brown, Chloé Patel, Amélie Brown, Maria López",Philippines,"January 31, 2015",2006,TV-PG,87 min,TV Comedies,A thrilling story about revenge.
s2043,Movie,Stranger of City,Liam Andersen,"Noah Suzuki, Alice Andersen, Emma Okonkwo, Lin Suzuki, Fatima Suzuki, Carlos Wang, Chen Kumar, Felipe Smith",India,"May 06, 2024",2024,PG,107 min,International Movies,A mysterious story about survival.
s2044,TV Show,Dangerous Heart,Martin Nakamura,"Emma Müller, Ravi Rodriguez, James Müller, Martin Khan, Kwame Smith",Brazil,"March 16, 2021",2010,R,2 Seasons,"British TV Shows, Documentaries",A heartwarming story about adventure.
s2045,Movie,Dream: Hidden Kingdom,Raj Rodriguez,"Priya Rossi, Tom Khan, Noah Yamamoto, Alice Suzuki, Olivier Smith",Egypt,"August 25, 2018",2018,TV-14,127 min,"British TV Shows, TV Action & Adventure",A gripping story about revenge.
s2046,Movie,The Last House,Emma Rodriguez,"Lin Khan, Ravi López, Raj Wang, Liam Martinez, Isabella Rossi, Kwame Khan, Carlos López, Ravi Smith","United States, South Korea, Philippines","December 13, 2021",2008,TV-MA,98 min,Kids' TV,A hilarious story about adventure.
s2047,Movie,Revenge: Infinite Heart,Priya Yamamoto,"Tom Okonkwo, Lin Johnson, Raj Rodriguez","United States, India","February 17, 2015",2015,TV-MA,107 min,Docuseries,A heartwarming story about love.
s2048,TV Show,Light of Game,,,Australia,"August 21, 2024",2024,TV-14,1 Season,Action & Adventure,A gripping story about friendship.
