id_client,anciennete_jours,nb_commandes_total,montant_total_eur,panier_moyen_eur,jours_depuis_derniere_cmd,nb_categories_achetees,taux_retour_pct,nb_avis_laisses,note_moyenne_donnee
R00523,711,2,133.9,26.07,240,3,25.56,1,2.31
D00018,1261,14,597.79,66.18,354,5,1.65,3,2.84
F00967,848,19,778.01,29.1,39,7,2.81,6,4.22
C00032,1479,68,2958.67,143.94,43,12,0.72,19,4.84
F00338,257,8,351.59,83.76,38,7,12.13,0,4.09
F00616,1475,18,151.29,34.32,56,4,4.33,9,3.88
F01338,233,17,406.95,45.57,25,4,12.6,7,3.54
F00530,1374,23,505.44,20.0,23,3,7.98,4,4.41
C00310,1848,38,4437.41,166.04,11,9,8.11,12,4.39
R00602,1078,3,158.54,28.83,185,1,11.0,1,3.23
P00069,130,5,135.6,42.2,16,3,7.79,0,4.57
D00114,1940,11,263.3,50.63,490,5,7.59,0,2.59
C00496,1553,50,3873.63,150.11,31,11,5.31,22,4.88
C00206,443,52,4560.41,111.98,16,12,9.42,14,4.71
P00574,50,3,130.26,42.23,3,1,7.33,1,4.38
D00358,1871,4,676.58,48.18,513,4,7.55,3,2.67
D00831,1465,3,525.96,36.42,391,4,11.55,2,2.96
C00306,1592,71,2713.44,125.0,13,13,3.32,28,4.46
D00794,533,6,152.87,34.61,286,3,7.35,2,4.04
P00102,53,3,93.74,53.07,8,1,2.55,3,4.27
F00462,685,24,727.41,42.19,104,2,6.29,5,4.51
F00244,1252,18,394.47,56.47,25,5,9.95,4,4.64
D00873,1987,11,523.76,70.38,693,4,1.75,2,3.78
P00152,67,6,215.72,50.88,28,4,12.07,4,4.29
C00212,631,85,2885.54,111.2,33,11,5.81,9,4.26
D00998,525,6,100.0,51.12,229,4,2.38,1,3.51
F00080,1143,6,786.63,50.57,91,6,4.8,5,3.97
C00566,908,32,4529.32,129.1,44,7,9.45,18,4.52
D00291,746,3,103.7,55.04,389,3,3.14,3,3.4
R00055,953,3,30.64,23.56,397,2,13.37,0,3.36
F00081,1432,21,587.54,38.19,115,5,14.38,3,4.43
C00181,1910,95,1090.19,139.03,41,13,0.05,29,4.27
D01280,1409,10,512.89,46.9,250,5,17.08,2,3.32
P00396,170,7,150.6,49.88,20,2,9.81,4,3.55
P00217,159,7,250.98,57.58,7,1,14.41,3,3.58
D01274,891,12,244.53,29.76,435,3,9.36,2,4.4
C00279,1812,90,3153.13,127.22,43,10,0.69,5,4.85
D00684,1341,10,555.92,49.22,467,2,3.68,2,2.81
R00463,606,4,187.99,55.33,180,2,17.44,1,3.26
C00433,1112,93,3195.14,111.5,28,6,7.61,17,4.97
C00290,1333,60,2185.64,115.08,25,9,0.83,23,4.8
F00428,590,16,447.91,61.83,74,3,3.07,9,4.01
C00536,1734,91,4555.75,108.12,23,6,1.66,5,4.71
D00632,1599,5,372.29,67.63,258,2,24.4,4,4.04
C00189,770,39,2723.84,103.82,8,11,6.14,17,4.98
P00075,36,7,207.67,52.34,28,3,0.19,2,4.73
D00916,1157,14,496.21,52.87,638,3,17.21,2,4.13
F01263,840,11,491.04,63.76,78,5,12.69,6,3.73
C00271,1317,76,3225.13,137.43,11,12,4.15,8,4.22
F01129,394,19,773.85,67.87,89,3,1.5,9,4.6
D01076,947,3,486.82,18.87,473,5,2.14,2,3.51
P00058,145,5,225.94,47.44,20,4,7.71,3,4.15
D00932,831,7,551.11,62.66,512,3,19.26,4,3.97
C00112,1259,33,3884.95,97.49,7,13,3.63,10,4.22
P00285,77,7,143.31,46.67,21,1,13.87,0,3.07
C00221,1710,20,2864.91,95.29,15,8,9.06,23,4.56
F00028,1477,11,290.37,106.27,54,7,3.2,4,3.65
F00582,990,15,674.84,78.28,108,6,1.63,6,3.77
D00382,835,13,380.46,86.36,538,4,14.81,2,2.56
P00323,132,4,101.93,42.17,5,1,5.17,0,3.63
F00191,478,18,745.25,36.7,63,7,14.62,0,
D01276,1184,7,521.49,28.39,201,2,1.94,0,3.87
C00462,1575,90,2325.42,137.85,36,9,8.11,22,4.79
R00103,315,4,87.73,29.11,143,1,20.38,0,3.38
C00552,976,83,2968.78,105.43,15,10,0.27,26,4.65
D00130,1320,5,340.28,29.49,710,2,0.14,4,4.47
F00845,691,6,657.24,29.69,80,5,5.61,7,3.55
C00199,501,24,4037.12,120.1,42,7,6.02,9,4.41
P00490,62,2,223.61,71.71,9,4,4.11,2,4.44
C00403,1269,64,3703.48,86.64,21,10,4.09,25,4.84
D00960,1060,11,630.11,19.06,432,2,21.08,0,2.97
D01190,502,8,465.2,26.89,659,2,0.4,0,2.94
R00464,1132,4,69.18,14.6,110,3,27.85,0,2.78
F01496,825,7,578.9,65.74,65,2,7.98,9,3.72
P00801,122,6,224.91,23.69,6,1,1.22,2,3.83
R00163,1013,1,191.49,45.33,372,2,37.91,2,2.38
F00051,420,14,541.34,73.18,90,7,6.99,7,3.65
F00109,387,16,548.76,81.86,41,3,11.21,2,4.02
F00881,1290,18,150.0,64.41,39,6,2.52,9,4.21
R00115,236,1,45.58,33.7,394,2,32.85,1,2.43
D00066,1658,11,416.94,76.4,754,5,16.45,2,3.32
P00296,113,2,221.04,36.21,29,4,12.26,2,4.07
F01170,789,14,626.46,57.5,24,2,8.66,5,3.89
C00315,845,58,3326.76,115.81,44,10,0.36,8,4.82
D00762,1854,10,399.59,58.49,772,4,12.01,2,3.81
R00610,361,3,41.58,27.34,289,2,11.3,1,3.65
C00114,1989,43,1313.08,96.64,8,14,1.24,27,4.56
F00361,618,13,495.73,68.58,43,4,14.42,8,4.07
P00811,152,5,246.44,57.39,18,1,18.67,1,3.26
D00406,1071,5,651.09,47.9,655,5,2.51,2,3.06
F01024,1401,21,640.91,62.05,21,4,2.6,6,3.77
D00323,1278,8,441.83,41.28,383,2,15.96,1,2.85
A010c,1008,2,1.08,3.98,69,1,0.0,0,3.37
F01219,1119,19,343.37,54.33,22,5,6.15,3,4.47
D00195,1651,4,186.74,49.51,578,3,22.89,0,
D00008,1029,12,441.97,39.01,557,4,4.39,4,4.41
D00415,1338,14,547.41,49.57,792,5,,4,4.14
R00229,327,3,20.0,42.22,235,1,32.15,2,3.6
F01298,1194,18,802.15,86.61,98,6,3.06,4,3.71
F01319,490,24,752.24,62.74,96,3,11.15,3,4.12
F00671,1392,13,420.93,79.2,90,2,12.17,2,4.36
D01177,797,14,326.59,19.23,618,2,8.82,3,3.83
A013a,61,75,7020.84,129.99,2,2,4.86,0,0.0
R00584,910,3,69.09,27.37,175,1,14.3,1,2.67
D01095,1447,6,498.28,35.42,562,3,21.45,1,2.73
D00160,1298,5,397.62,50.82,419,2,16.1,4,2.74
F01214,1260,21,643.25,93.05,61,5,1.54,3,3.74
P00327,130,5,280.69,69.35,25,2,1.86,3,3.45
D00951,836,10,398.24,51.5,517,3,1.63,2,3.13
R00129,1027,4,127.4,24.76,383,3,28.56,1,3.19
P00043,140,4,164.14,67.43,3,1,6.35,3,3.5
F01027,449,9,246.97,64.99,24,3,0.13,5,3.84
F00190,1239,12,465.52,55.11,93,6,8.78,4,4.61
D00787,1345,3,459.34,35.82,312,2,6.52,0,2.72
F01265,448,14,221.14,63.11,110,7,11.83,2,3.72
P00766,119,5,149.34,68.99,17,3,16.3,3,3.43
F00272,806,23,432.38,32.23,36,2,11.97,4,3.5
D00272,1264,11,277.82,15.0,760,3,4.26,1,2.75
D00834,1951,12,237.93,48.9,518,4,1.68,0,2.77
C00074,1731,41,3439.03,84.55,23,6,2.65,12,4.71
F01153,709,6,844.35,75.68,105,5,6.85,2,4.03
F00822,586,22,773.73,56.04,35,2,12.26,4,4.49
D01222,596,12,358.4,91.42,467,4,23.38,4,3.4
R00394,281,1,98.32,49.5,283,2,38.86,2,3.1
R00070,1171,3,199.02,26.75,195,3,10.72,1,2.12
R00276,762,2,112.24,28.94,271,1,17.14,0,2.82
D00810,597,3,443.52,50.17,386,3,16.07,3,2.69
P00145,59,7,247.24,35.73,1,1,0.67,0,3.96
D00048,568,11,386.31,57.69,512,3,21.99,2,4.37
P00346,78,6,50.0,75.67,25,4,,1,3.46
C00495,940,97,2151.43,94.12,36,9,1.4,13,4.63
D00131,854,6,243.68,57.91,514,5,1.65,1,4.4
R00022,808,4,109.36,26.43,273,3,8.93,1,3.29
R00098,217,1,80.41,35.75,145,2,39.05,0,2.92
F00565,523,15,740.66,78.34,113,5,0.5,5,3.92
D00735,1742,3,476.09,62.14,334,5,2.72,0,3.8
F01131,729,21,590.48,72.03,70,7,6.79,6,3.65
R00513,681,3,118.78,30.77,210,2,29.22,2,2.84
P00303,135,4,174.75,42.46,29,3,6.88,2,
D00404,1543,6,363.62,54.17,233,4,18.73,1,3.3
F00019,417,6,636.61,79.62,29,4,11.38,7,4.58
F01098,425,14,650.85,53.0,23,5,3.61,4,3.86
D00594,1288,7,338.93,34.07,301,2,23.95,4,2.69
F01358,1049,5,834.38,74.37,111,7,14.24,1,4.62
F00622,1072,11,637.9,53.36,28,5,4.45,2,3.69
F01474,1386,20,719.57,49.29,55,5,6.26,0,4.4
D00411,1704,5,592.06,51.64,598,4,8.77,4,4.44
F00270,1286,23,849.45,50.52,63,6,15.0,0,4.32
P00619,76,5,261.17,52.52,10,4,0.94,2,4.48
F00443,1126,6,846.69,63.28,75,6,3.15,6,3.63
F00762,410,9,537.1,85.25,98,3,1.48,4,3.54
C00357,742,49,2954.47,154.57,27,9,5.99,10,4.85
F00563,569,20,597.05,75.17,34,6,10.56,0,4.29
P00666,48,3,259.14,59.15,24,3,2.5,1,4.43
D00253,937,4,303.97,43.43,459,2,19.13,4,2.59
F00839,1264,13,637.67,84.29,66,5,11.44,0,3.88
D00604,1242,8,584.2,36.39,340,4,3.25,4,4.25
R00641,203,4,137.02,18.95,389,2,35.64,0,3.81
R00294,204,1,191.67,16.2,370,2,26.27,1,2.61
D00640,631,9,545.94,44.91,755,5,9.32,4,3.12
F00654,1053,24,867.54,51.66,117,5,8.93,7,4.63
D00366,1712,3,222.86,55.2,529,5,15.48,3,2.98
C00333,1085,36,2628.03,95.18,22,10,6.35,14,4.31
D00695,1712,14,236.25,60.16,728,5,0.77,1,4.27
D00569,1541,5,361.22,69.13,559,3,3.52,1,2.81
P00629,169,6,169.98,55.5,10,3,2.51,0,4.2
D00668,931,3,193.28,39.66,492,2,14.37,0,3.46
F01031,899,12,499.51,70.42,92,3,8.21,5,3.99
F00517,1153,6,502.83,74.46,115,5,4.14,7,3.91
F01250,887,20,387.5,61.46,21,7,2.78,3,4.63
D00555,1070,11,520.43,70.16,406,2,15.16,4,2.53
D00154,1787,3,483.75,76.94,241,5,22.69,3,3.39
D00266,1625,3,550.07,66.2,584,3,20.57,0,3.02
F01066,1025,8,440.52,20.0,44,2,1.29,0,4.64
C00446,1271,20,3528.44,86.42,21,14,6.14,11,4.06
P00146,100,2,256.73,62.84,17,2,10.35,0,
C00453,1041,24,3963.86,124.81,39,6,1.45,22,4.53
F00952,627,6,737.08,61.17,65,2,3.45,5,3.51
R00135,763,2,125.83,49.44,275,2,16.05,1,2.48
P00855,177,4,288.5,36.69,8,3,15.18,4,4.49
C00015,1746,20,3998.24,147.82,38,11,6.84,11,4.59
D00629,1311,10,426.62,44.51,755,2,11.6,3,2.5
F00346,1446,19,658.26,55.3,71,2,9.62,2,4.28
C00248,1709,21,3119.12,86.7,18,10,4.68,22,4.54
R00398,1186,3,117.86,41.89,382,1,34.05,1,2.14
C00361,993,75,1787.95,110.38,17,9,6.36,22,4.84
R00357,1002,3,114.11,45.29,355,1,24.79,1,3.01
F01015,271,22,724.2,61.72,86,5,5.25,5,4.36
P00204,135,2,306.76,27.48,6,4,1.79,3,3.37
D01142,1656,12,507.18,15.0,334,3,1.37,2,4.3
D00169,1446,3,319.57,27.4,574,5,19.97,3,3.47
P00379,99,6,310.3,44.38,17,4,13.81,0,3.64
D01215,1590,5,397.53,20.91,533,5,6.68,4,3.98
D01181,1704,7,322.76,67.52,594,4,24.62,2,2.7
R00585,538,2,94.44,11.66,218,1,36.31,0,3.09
D00164,1120,10,397.56,21.81,268,3,5.93,3,3.81
C00491,1139,77,2925.51,119.64,16,5,3.86,12,4.94
F00263,1211,10,656.31,76.98,104,4,11.38,0,4.29
F01141,395,9,659.92,59.74,75,4,2.26,4,3.96
D01100,1130,9,235.7,32.42,570,4,12.32,4,2.85
R00086,450,4,125.32,28.99,388,3,30.69,1,2.5
P00348,171,7,131.47,59.42,29,2,4.24,0,3.38
D01231,1082,13,465.57,64.35,237,4,22.06,2,3.63
C00507,1674,37,3041.51,112.66,35,9,1.55,9,4.65
P00578,51,2,174.68,32.37,27,3,12.32,3,3.7
P00896,134,5,226.53,40.47,21,4,18.44,1,4.29
F01343,1464,10,292.97,43.21,41,5,14.51,0,3.81
F00623,1189,21,872.4,86.86,92,7,3.24,7,4.1
F00514,466,19,850.99,55.49,49,2,0.4,8,4.67
F01306,202,14,593.49,46.45,95,2,14.77,0,4.39
D00424,651,12,100.0,32.95,705,4,10.59,0,3.37
F01278,933,20,471.18,48.05,49,6,1.83,1,3.78
R00373,345,4,33.32,30.45,244,1,10.35,2,3.34
C00434,1334,55,2502.38,117.65,19,13,3.71,14,4.11
P00265,66,3,158.92,36.71,15,4,6.49,3,3.04
D00155,1136,7,532.23,48.2,492,2,21.03,1,4.13
P00736,96,6,233.87,50.92,25,1,3.83,1,4.74
F01493,283,6,384.83,49.04,29,4,8.65,4,3.65
D00011,1585,4,407.55,67.99,218,5,8.48,0,2.63
D00163,1684,6,254.53,51.05,349,4,5.06,2,2.64
P00846,95,4,99.02,51.67,6,4,15.95,2,3.84
D00917,574,14,307.03,44.19,547,4,20.51,0,3.74
P00817,89,2,211.56,61.09,26,3,1.16,0,
F00503,930,11,523.32,54.61,86,5,7.68,9,4.52
F00849,1065,20,453.94,79.02,25,4,7.92,5,4.36
F01121,268,9,674.41,68.74,65,5,3.34,8,3.7
R00219,632,1,101.18,31.62,316,2,33.95,1,3.42
D00843,1282,7,279.52,15.0,458,4,24.92,0,3.35
C00157,841,94,3306.39,126.76,19,6,1.32,25,4.89
P00879,167,4,178.54,60.64,18,3,3.11,4,3.33
F01174,1282,17,900.48,74.39,99,4,14.87,3,4.46
F00016,784,20,966.83,50.93,106,4,9.17,0,4.14
F00044,1134,8,652.42,88.99,60,4,1.04,0,3.62
F01336,832,23,664.94,99.98,92,2,7.94,8,4.55
D01278,1486,8,515.0,55.55,728,5,17.25,4,3.14
F00469,964,5,415.15,59.06,84,2,7.97,6,4.54
R00155,952,1,64.2,10.0,307,3,9.25,2,2.95
D01155,1473,8,423.74,63.93,726,5,10.36,1,3.99
D01240,1344,4,688.73,23.21,399,3,6.61,0,3.52
R00569,1003,4,129.66,35.32,137,3,36.17,0,3.69
C00331,406,36,2723.05,116.98,14,14,6.9,17,4.68
F01458,1405,10,570.21,71.5,55,3,12.69,8,3.65
P00547,118,6,205.06,52.7,23,2,11.53,4,3.11
P00092,108,2,275.19,57.09,7,2,15.8,0,4.5
F00023,1280,11,395.33,35.39,107,4,14.99,6,4.04
F00996,492,16,465.53,62.85,37,4,7.1,0,3.94
P00816,66,3,198.98,36.77,14,1,0.93,0,4.63
R00522,1174,4,109.71,26.71,373,3,27.63,1,
D00899,1745,8,575.99,49.98,478,5,24.41,1,2.77
F01320,301,19,537.28,61.99,43,5,8.91,9,4.02
D01174,1934,7,402.81,96.44,679,3,15.85,0,3.36
R00178,345,3,89.66,33.19,271,2,9.21,1,2.62
F00156,1093,19,431.74,67.48,79,4,1.1,3,4.34
C00519,858,91,2910.61,120.17,10,5,3.7,24,4.53
D00804,1534,7,395.07,79.28,792,2,10.19,3,2.55
C00033,1430,48,3478.02,92.37,36,8,0.4,10,4.74
P00838,129,2,114.59,38.14,1,1,3.99,0,4.26
F00558,1277,5,241.74,45.96,93,7,1.76,5,3.52
F00145,306,7,487.43,48.28,83,6,6.57,1,3.66
F00898,563,22,416.36,59.58,33,3,0.06,7,3.66
D00460,583,6,490.22,39.19,727,2,13.52,3,4.27
D00756,1496,10,485.13,53.97,656,3,15.28,0,3.4
P00492,139,3,233.47,36.99,22,3,1.61,2,4.34
F00184,1472,5,737.85,86.54,49,5,13.38,4,4.14
D00494,704,14,585.47,15.0,639,3,8.74,0,4.42
P00850,139,3,177.81,60.05,12,1,10.4,1,4.66
C00230,1783,59,4409.43,63.14,6,13,8.35,6,4.14
F00258,288,5,677.65,31.18,88,2,8.29,5,3.97
P00167,104,6,160.78,39.34,18,3,6.4,1,3.22
D01275,1412,9,305.84,73.01,521,3,23.36,1,3.62
C00409,1631,81,3408.87,98.31,27,10,1.25,14,4.89
C00171,1834,51,2671.13,119.63,43,9,5.02,6,4.05
C00541,1113,74,2386.92,146.22,25,11,7.18,22,4.7
P00111,132,4,274.89,51.56,20,3,15.21,2,4.38
P00205,117,4,217.21,63.74,18,1,15.63,3,3.45
P00468,68,3,210.84,42.69,2,1,14.58,0,4.42
F00014,892,19,472.52,24.07,50,5,5.89,2,3.9
P00002,76,7,350.7,56.75,13,3,8.19,1,3.05
F01209,739,9,626.05,63.7,97,2,5.97,7,3.51
D00439,1819,13,366.67,49.04,534,4,10.41,1,4.17
F00562,1342,20,785.51,84.53,116,7,11.72,3,4.0
D01226,1448,7,595.15,27.53,285,4,2.25,1,3.35
D00120,1162,5,439.66,69.96,724,4,6.38,0,4.23
D00653,817,12,332.2,83.97,730,4,12.41,3,3.49
F01011,822,15,623.2,49.96,23,3,13.05,0,4.45
F01333,325,9,649.24,72.63,25,6,14.08,5,4.47
D00028,1043,10,456.96,46.26,560,2,11.09,0,3.17
C00565,747,71,2689.56,154.17,33,10,6.32,28,4.92
D00572,1689,3,280.75,52.87,290,3,10.84,0,3.91
D01248,1474,9,462.56,92.12,754,3,9.2,1,3.85
P00289,100,7,142.49,42.6,25,1,12.37,3,4.92
F00872,560,11,766.26,88.36,73,5,12.89,5,
P00531,54,4,274.67,48.12,2,2,19.82,0,3.25
F01236,311,13,286.51,79.87,77,2,9.12,8,4.34
R00629,1175,4,20.0,24.77,338,3,25.7,0,2.9
D00476,1727,7,413.43,28.62,692,2,22.72,1,4.22
F00934,853,24,380.47,45.23,108,3,9.9,7,4.48
R00028,977,1,94.24,21.79,254,3,18.6,2,2.74
P00385,128,5,304.32,56.59,24,3,,4,3.12
D01208,1436,11,525.14,60.89,634,4,11.63,2,4.03
F00573,1406,20,547.69,20.74,36,4,9.37,7,3.52
F00828,928,17,493.45,48.95,103,5,13.16,3,4.43
C00326,1590,78,2247.26,171.29,29,11,1.06,21,4.51
F00452,777,23,911.13,80.57,31,2,4.06,0,4.07
D00320,623,12,700.05,40.65,242,4,13.75,3,4.21
R00422,599,1,140.85,49.79,192,3,7.44,2,3.16
D00865,1080,12,734.08,63.0,223,5,9.33,3,3.41
P00504,115,5,256.38,48.25,16,3,7.25,4,3.54
F01139,421,20,577.95,56.18,89,5,12.41,1,3.89
F00597,969,16,716.98,60.86,85,2,8.57,1,4.46
F00021,1109,18,1007.23,49.34,81,6,4.3,4,4.41
F00775,1495,15,525.63,36.98,108,2,12.88,3,3.69
P00780,58,4,159.62,50.72,11,2,0.27,2,3.11
F00590,1351,22,590.86,68.16,25,7,10.9,5,4.34
C00329,1950,42,3559.17,132.21,20,8,2.44,7,4.76
F00049,538,11,626.87,38.7,111,3,11.18,3,3.74
F00298,1448,8,640.39,58.83,106,7,8.59,6,3.67
D00883,588,10,500.8,73.22,777,5,7.49,2,2.93
F00524,916,14,796.8,39.2,68,5,13.54,8,4.57
F01292,718,13,544.14,40.52,80,6,3.25,1,4.59
R00344,671,2,97.16,37.25,322,2,32.13,0,3.62
R00492,984,3,137.05,26.5,256,3,37.46,2,3.87
R00230,240,3,82.57,57.97,311,1,35.15,1,3.88
D01235,533,13,352.74,73.79,430,5,8.86,2,3.76
F00994,1156,9,384.12,65.7,102,5,0.36,5,4.59
D00313,1929,10,576.64,61.22,733,3,8.35,3,4.45
P00448,73,4,197.83,58.71,26,4,13.41,0,3.16
F00946,505,9,889.09,92.68,105,3,13.15,4,3.52
R00037,733,3,84.23,29.1,264,1,29.13,0,3.62
F00424,816,24,715.84,65.33,119,3,6.55,7,3.9
F01372,1344,8,480.08,35.19,84,3,0.28,9,4.42
A019b,528,36,1096.53,73.69,23,3,70.61,12,1.03
F01115,1054,15,899.26,54.54,108,5,9.02,2,3.63
F01118,517,14,822.63,94.8,46,5,4.78,8,3.53
F00878,1408,16,719.27,64.95,118,3,14.31,8,4.63
F00210,1267,20,963.34,30.42,109,2,1.01,1,4.53
P00751,168,2,102.01,75.47,17,2,2.32,1,3.71
F00379,1430,11,740.14,64.9,88,6,13.03,7,3.73
R00388,439,4,95.29,42.52,252,3,35.43,0,2.18
R00596,670,3,137.34,38.17,207,1,35.04,1,3.3
F01085,220,13,528.33,71.92,20,6,4.62,6,4.36
R00361,909,4,113.0,38.48,154,2,11.13,1,3.2
F00915,1269,23,350.91,66.26,80,2,4.4,9,4.79
P00305,178,7,193.22,57.38,5,4,5.5,1,4.34
F01422,443,23,745.42,65.88,63,3,1.66,9,4.17
R00254,973,3,34.61,40.87,361,3,,2,3.08
F01168,793,18,623.65,79.28,89,5,0.44,8,4.27
C00175,1043,62,2052.23,104.3,37,6,4.58,9,4.49
F00955,1299,12,488.8,73.6,40,2,10.66,1,3.86
D01216,849,13,100.0,39.15,607,5,9.01,0,4.2
F00883,1291,12,372.01,92.21,89,2,3.02,4,4.65
R00162,500,3,86.2,39.77,238,1,5.79,2,2.3
C00218,1401,82,4320.79,186.44,8,7,8.79,28,4.87
D00915,1839,12,254.72,61.87,278,2,11.79,1,3.15
D00721,1321,3,378.99,69.96,584,4,21.87,3,2.88
F00091,294,19,657.05,39.82,82,7,6.57,9,4.51
P00478,115,3,89.03,45.49,16,3,12.2,2,3.12
P00134,149,3,173.97,58.14,24,4,5.13,2,4.78
P00139,167,3,288.46,52.65,24,2,8.12,2,4.16
F00507,958,13,601.37,38.32,45,7,7.12,6,3.71
F01190,1244,9,503.52,81.11,64,7,9.11,6,3.85
D00189,1111,13,363.99,21.43,596,5,5.52,3,2.51
P00337,153,6,262.78,43.95,19,3,16.93,3,4.84
F00012,738,6,686.92,24.39,77,4,12.76,0,3.9
D00661,1986,6,162.16,75.13,354,3,20.33,2,4.03
D00712,1171,8,305.36,42.58,694,4,13.47,2,4.06
C00577,645,84,3808.75,97.45,15,8,8.9,26,4.64
F01464,353,23,599.06,73.23,52,5,6.18,0,3.55
R00136,501,3,119.71,35.53,231,2,24.92,1,3.35
F00581,1245,11,431.38,112.7,30,2,1.86,0,3.9
F00289,491,13,914.85,68.72,70,7,1.19,2,3.58
D00129,899,10,409.46,44.8,583,2,22.07,0,
F01133,1307,11,449.97,39.12,27,6,12.4,2,4.54
P00564,179,2,206.01,83.95,24,4,7.98,3,4.22
F00218,700,16,561.69,47.51,114,2,8.06,9,3.88
D00278,1774,5,455.61,29.74,359,2,16.99,2,3.66
F01260,795,6,499.53,48.93,98,3,4.94,7,4.52
C00209,1488,22,1509.38,115.45,25,7,4.95,9,4.23
C00294,503,74,4259.58,79.71,18,5,1.1,16,4.74
F00520,1211,16,781.18,40.98,72,6,9.71,4,3.96
P00114,91,2,176.6,30.95,25,2,4.56,1,4.57
F01010,733,12,675.65,35.04,20,3,5.84,0,3.84
F00665,1422,17,583.64,51.3,79,4,10.42,3,4.21
F00391,943,14,511.51,65.47,44,7,5.29,2,4.36
D01198,1454,8,352.61,46.86,784,5,14.47,2,3.22
F01017,647,14,544.5,20.0,95,4,4.6,6,3.51
C00354,906,69,4306.6,111.35,17,11,5.48,24,4.55
R00258,1060,1,97.56,26.53,369,2,10.36,2,2.75
F01423,715,6,313.89,57.09,44,4,5.62,5,4.51
D00691,917,13,428.07,36.83,627,4,15.34,3,2.56
P00456,167,5,132.21,63.27,15,3,3.91,0,4.07
D00049,1480,6,324.17,61.59,600,5,14.72,2,4.33
F00629,1043,20,863.88,68.15,93,2,9.92,8,4.32
C00260,401,98,3438.1,175.15,42,7,1.59,27,4.16
F00920,761,12,548.82,83.76,33,4,1.28,2,4.66
F01178,1154,13,689.81,73.75,70,6,7.88,0,3.97
R00440,378,3,57.76,22.94,230,2,39.11,0,3.65
F01171,764,20,789.71,31.85,100,5,2.45,6,4.64
R00054,1062,3,60.77,26.88,227,1,36.84,1,2.09
C00053,595,83,2944.49,132.94,32,11,9.84,15,4.95
D00474,1785,11,424.84,47.81,572,2,23.05,4,2.74
R00384,707,2,20.0,43.31,268,3,5.62,1,3.16
R00112,264,2,95.37,41.1,207,3,10.17,0,2.58
P00310,62,6,166.51,48.73,23,3,19.19,4,4.3
P00688,116,3,229.9,55.23,26,4,2.53,2,4.95
P00245,78,3,218.84,47.68,3,2,1.84,0,3.03
F00434,677,11,353.31,79.74,53,2,14.58,6,3.71
F00498,372,16,377.99,20.0,23,6,4.4,8,3.97
C00544,626,35,2781.78,81.13,41,14,1.24,19,4.71
F00447,1372,7,515.59,59.07,113,2,0.08,1,4.16
F01295,789,16,938.35,46.59,119,4,4.63,4,3.8
R00077,420,3,87.39,26.78,182,1,23.27,1,2.15
C00031,634,67,3342.72,164.53,33,8,4.42,22,4.75
F00126,914,13,429.6,39.97,66,4,11.23,9,3.66
A012a,77,30,7741.91,156.01,0,2,1.22,0,0.0
R00419,373,4,83.49,35.24,360,2,15.73,1,3.6
D00904,775,3,451.93,35.73,219,4,13.02,2,4.18
F00827,1392,11,793.71,72.46,101,5,1.42,2,4.78
P00398,89,6,94.35,71.08,23,4,12.47,4,3.73
C00437,1445,29,1840.16,119.13,24,11,1.09,22,4.3
P00371,84,4,182.11,30.92,8,2,17.7,1,4.41
F00313,228,24,633.92,74.7,69,5,9.78,3,4.14
D01223,697,10,524.51,29.9,601,4,1.94,0,3.92
R00053,229,2,81.42,26.68,239,1,22.03,1,2.92
R00213,881,2,164.01,36.08,152,3,20.46,1,3.53
R00144,222,1,73.51,49.3,229,3,37.25,1,3.23
P00188,144,5,247.79,61.51,11,4,3.48,4,4.63
R00298,553,4,57.58,28.99,296,2,23.28,1,3.19
F00639,418,8,613.55,49.58,61,4,3.25,0,4.04
F00304,658,11,566.17,63.69,69,3,8.45,3,4.59
D00621,1897,10,219.2,50.35,591,2,9.96,2,3.97
D00232,1055,10,679.71,37.75,767,3,22.14,3,2.99
P00760,151,2,137.76,55.73,27,2,1.03,2,4.14
C00508,1838,33,2846.7,129.73,16,13,3.84,24,4.56
D00222,522,5,243.46,71.46,478,3,23.07,1,3.32
C00184,1569,51,2713.49,162.23,34,8,5.7,29,4.26
F00965,1180,14,537.01,70.18,87,2,4.13,0,3.67
P00605,157,6,317.46,62.37,20,4,19.9,0,3.59
C00322,1547,57,3833.21,132.13,28,14,6.4,11,4.6
D00564,1171,13,562.0,29.41,602,2,17.09,3,3.57
F00939,1349,23,666.49,39.85,23,6,8.28,4,4.23
F01238,276,13,778.61,72.33,92,4,6.49,5,4.03
P00281,150,2,50.0,34.55,18,2,15.98,1,3.16
F01313,269,9,865.21,67.63,48,2,0.4,5,3.7
F01241,644,24,1099.88,34.36,56,6,2.36,6,4.05
P00016,52,3,140.09,65.53,24,4,17.81,2,4.78
R00138,359,1,37.33,29.26,273,1,9.21,1,2.86
F00547,482,15,813.63,26.82,34,7,0.69,1,4.52
P00387,96,6,264.4,68.59,20,2,4.59,2,4.27
C00045,1228,35,3579.85,97.47,32,11,5.63,23,4.19
P00055,59,5,195.58,23.34,27,3,16.44,4,3.41
F00927,682,5,832.74,20.3,41,2,0.61,7,3.63
R00556,942,3,56.95,22.5,308,1,38.3,2,2.33
F00779,744,8,985.8,55.09,104,3,1.2,7,3.93
F01166,1396,10,686.2,60.24,81,2,8.35,7,3.57
D00013,1110,13,554.29,66.44,387,4,20.51,3,3.08
